标准实体编号,标准实体名称,实体类型,别名集合,定义或备注,代表来源文档,代表来源页码,代表证据句,关联原始实体数,累计提及次数,最高置信度,复核状态
SE0001,BellX-5飞机,飞行器对象,,的BellX-5飞机试飞成功，标志着变体技术发展,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,的Bell X-5 飞机试飞成功，标志着变体技术发展,1,2,0.9,已规范化
SE0002,F-111飞机,飞行器对象,,F-111飞机是变构飞行器研究中的对象或典型平台，用于承载变形方案、气动布局或控制策略分析。,待人工补充,,,1,0,0.6,已规范化
SE0003,F-14飞机,飞行器对象,,动补偿措施，如F-14飞机在机翼固定段前缘设计,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,10,动补偿措施，如F-14 飞机在机翼固定段前缘设计,1,2,0.9,已规范化
SE0004,F-18飞机,飞行器对象,,航空学报629595-5装置(AdaptiveTrailingEdgeDevice，ATED)可以实现后缘的智能变弯度，有效降低了飞行油耗［15］。项目过程中开展了多次风洞试验，充分验证了前缘、后缘、…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,航 空 学 报 629595-5 装置(Adaptive Trailing Edge Device， ATED)可以 实现后缘的智能变弯度，有效降低了飞行油耗 ［15］。 项目过程中开展了多次风洞试验，充分验证了前 缘、后缘、翼梢变形的可行性。 2014 年，NASA 组织开展了自适应柔性后缘 (Adaptive Compliant Trailing Edge， ACTE)项 目 ［16］。在湾流飞机上安装ACTE 襟翼来实现后 缘连续,1,2,0.9,已规范化
SE0005,RQ-4A全球鹰无人机,飞行器对象,RQ-4A 全球鹰无人机,方法；在此基础上，以RQ-4A“全球鹰”无人机为例，进一步分析了单-双折,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,33,方法；在此基础上，以RQ-4A“全球鹰”无人机为例，进一步分析了单-双折,2,6,0.95,已规范化
SE0006,X-37B轨道试验飞行器,飞行器对象,,形参考美国的X-37B轨道试验飞行器，为降低防热,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,2,形参考美国的X-37B轨道试验飞行器，为降低防热,1,1,0.9,已规范化
SE0007,X-53试验机,飞行器对象,,AAW项目中的X-53试验机如图3,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,AAW 项目中的X-53 试验机如图3,1,1,0.9,已规范化
SE0008,X-5飞机,飞行器对象,Bell X-5飞机,的BellX-5飞机试飞成功，标志着变体技术发展,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,的Bell X-5 飞机试飞成功，标志着变体技术发展,1,2,0.9,已规范化
SE0009,偏转弹头导弹,飞行器对象,,偏转弹头导弹的概念最早可以追溯到1946年。,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,偏转弹头导弹的概念最早可以追溯到1946 年。,1,5,0.95,已规范化
SE0010,全球鹰无人机,飞行器对象,,图1.1全球鹰无人机.....................................................................................2,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,11,图1.1 全球鹰无人机 ..................................................................................... 2,1,14,0.95,已规范化
SE0011,协和号超声速客机,飞行器对象,,航空学报629595-6结构［24］等实现机翼局部或者大面积的柔性变形，进而提高变体飞行器的气动和操稳特性；另一方面通过智能控制技术［25］充分发挥变体飞行器的环境自适应特性。飞行器的柔性变形主要包括…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,航 空 学 报 629595-6 结构 ［24］等实现机翼局部或者大面积的柔性变形， 进而提高变体飞行器的气动和操稳特性；另一方 面通过智能控制技术 ［25］充分发挥变体飞行器的 环境自适应特性。飞行器的柔性变形主要包括 机翼连续变弯度和机翼扭转。这一阶段的变体 技术在多种气动布局形式上都有所应用，满足了 提高飞行性能的需求。 2 不同部位变体技术研究进展 飞行器不同部位的变形会带来不同的性能 增益。本节将按照变形部位分类综述飞行器头,1,1,0.9,已规范化
SE0012,单-双折叠翼变体飞行器,飞行器对象,单-双折叠翼变体飞机；单双折叠翼变体飞行器,图3.5单-双折叠翼变体飞机的典型飞行剖面.............................................29,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,12,图 3.5 单-双折叠翼变体飞机的典型飞行剖面 ............................................. 29,3,54,0.95,已规范化
SE0013,双翼飞机,飞行器对象,,法，分析了不同设计参数的双翼飞机的气动特性，并结合现有的双翼理论，进,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,32,法，分析了不同设计参数的双翼飞机的气动特性，并结合现有的双翼理论，进,1,7,0.95,已规范化
SE0014,变后掠乘波体构型,飞行器对象,,仰力矩系数。该变后掠乘波体构型在不同马赫,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,11,仰力矩系数。该变后掠乘波体构型在不同马赫,1,2,0.9,已规范化
SE0015,变后掠机翼飞机,飞行器对象,,行包线。可变后掠机翼飞机的工程应用证实了,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,行包线。可变后掠机翼飞机的工程应用证实了,1,2,0.9,已规范化
SE0016,变构飞行器,飞行器对象,变体飞行器；Morphing Aircraft；变形飞行器；空天变构飞行器,WEISSHAAR T. Morphing aircraft technology - new shapes for aircraft,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,5,WEISSHAAR T. Morphing aircraft technology - new shapes for aircraft,5,72,0.95,已规范化
SE0017,固定翼飞机,飞行器对象,,图2.3固定翼飞机在不同巡航升力系数和零升阻力系数下对应的气动最优展,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,11,图 2.3 固定翼飞机在不同巡航升力系数和零升阻力系数下对应的气动最优展,1,5,0.95,已规范化
SE0018,大展弦比长航时飞行器,飞行器对象,,大展弦比长航时飞行器在飞行器发展中占有重要地位。对于亚声速飞行器来,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,大展弦比长航时飞行器在飞行器发展中占有重要地位。对于亚声速飞行器来,1,13,0.95,已规范化
SE0019,大展弦比飞机,飞行器对象,,2.3.3应用变体技术的大展弦比飞机收益代价边界................................21,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,8,2.3.3 应用变体技术的大展弦比飞机收益代价边界 ................................ 21,1,20,0.95,已规范化
SE0020,太阳能无人机,飞行器对象,,司与美国陆军联合开发的“西风”太阳能无人机等。,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,司与美国陆军联合开发的“西风”太阳能无人机等。,1,6,0.95,已规范化
SE0021,宽域高超声速变构飞行器,飞行器对象,,此外，一方面，宽域高超声速变构飞行器在,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,此外，一方面，宽域高超声速变构飞行器在,1,3,0.95,已规范化
SE0022,导弹,飞行器对象,,"杨金龙,林旭斌.德国SpaceLiner空天飞行器综述[J].飞航导弹,",D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,6,"杨金龙, 林旭斌. 德国SpaceLiner 空天飞行器综述[J]. 飞航导弹,",1,20,0.95,已规范化
SE0023,小型无人机,飞行器对象,,除了充气式伸缩机翼之外，2011年，Mestrinho等人提出了一种小型无人机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,27,除了充气式伸缩机翼之外，2011 年，Mestrinho 等人提出了一种小型无人机,1,2,0.9,已规范化
SE0024,巡航导弹,飞行器对象,,动性能，并且变体形式相对简单，在巡航导弹、飞,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,12,动性能，并且变体形式相对简单，在巡航导弹、飞,1,2,0.9,已规范化
SE0025,常规布局飞行器,飞行器对象,,维折叠机翼常规布局飞行器，建立了一种多任务,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,32,维折叠机翼常规布局飞行器，建立了一种多任务,1,2,0.9,已规范化
SE0026,无尾布局飞行器,飞行器对象,,式无尾布局飞行器上，兼顾隐身、横航向操纵、高,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,14,式无尾布局飞行器上，兼顾隐身、横航向操纵、高,1,1,0.9,已规范化
SE0027,翼身组合体飞行器,飞行器对象,,翼身组合体飞行器是变构飞行器研究中的对象或典型平台，用于承载变形方案、气动布局或控制策略分析。,待人工补充,,,1,0,0.6,已规范化
SE0028,翼身组合构型飞行器,飞行器对象,,翼身组合构型飞行器是变构飞行器研究中的对象或典型平台，用于承载变形方案、气动布局或控制策略分析。,待人工补充,,,1,0,0.6,已规范化
SE0029,翼身融合飞行器,飞行器对象,,翼身融合飞行器是变构飞行器研究中的对象或典型平台，用于承载变形方案、气动布局或控制策略分析。,待人工补充,,,1,0,0.6,已规范化
SE0030,跨域变构飞行器,飞行器对象,,跨域变构飞行器变形方案设计及气动特性分析,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,跨域变构飞行器变形方案设计及气动特性分析,1,4,0.95,已规范化
SE0031,长航时飞行器,飞行器对象,,大展弦比长航时飞行器在飞行器发展中占有重要地位。对于亚声速飞行器来,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,大展弦比长航时飞行器在飞行器发展中占有重要地位。对于亚声速飞行器来,1,20,0.95,已规范化
SE0032,飞机总体设计,飞行器对象,,关键词：变体飞行器；大展弦比长航时飞行器；飞机总体设计；飞机气动设,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,5,关键词：变体飞行器；大展弦比长航时飞行器；飞机总体设计；飞机气动设,1,3,0.95,已规范化
SE0033,飞机重量,飞行器对象,减轻飞机重量,航空学报629595-3变形来提高气动效率，变体设计方案如图2［5］所示，飞行试验结果表明自适应机翼在设计巡航点阻力减少了约7%，非设计点的阻力减少了20%以上［5］。1985年，NASA与洛克韦尔公…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,3,航 空 学 报 629595-3 变形来提高气动效率，变体设计方案如图2 ［5］所 示，飞行试验结果表明自适应机翼在设计巡航点 阻力减少了约7%，非设计点的阻力减少了20% 以上 ［5］。 1985 年，NASA 与洛克韦尔公司合作开展了 主动柔性机翼(Active Flexible Wing， AFW)项 目 ［6］，1996 年扩展为主动气动弹性机翼(Active Aeroelastic Wing， AAW)计划 ［7］。该项目采,1,1,0.9,已规范化
SE0034,飞翼布局飞行器,飞行器对象,,随着飞翼布局飞行器性能优势愈加显著，探,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,17,随着飞翼布局飞行器性能优势愈加显著，探,1,3,0.95,已规范化
SE0035,飞行器气动布局,飞行器对象,,系对变构飞行器气动布局设计的关键技术难点进行,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,1,系对变构飞行器气动布局设计的关键技术难点进行,1,9,0.95,已规范化
SE0036,高空长航时飞行器,飞行器对象,,的最直接方法，为了提高气动效率、扩大航程，高空长航时飞行器往往采用大展,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,的最直接方法，为了提高气动效率、扩大航程，高空长航时飞行器往往采用大展,1,2,0.9,已规范化
SE0037,高超声速变构飞行器,飞行器对象,,此外，一方面，宽域高超声速变构飞行器在,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,此外，一方面，宽域高超声速变构飞行器在,1,3,0.95,已规范化
SE0038,高速巡航导弹,飞行器对象,,的盘旋时间增加约75%。由于高速巡航导弹弹,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,20,的盘旋时间增加约75%。由于高速巡航导弹弹,1,1,0.9,已规范化
SE0039,鸭翼舵面导弹,飞行器对象,,主要方案。偏转弹头导弹、鸭翼舵面导弹模型如,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,主要方案。偏转弹头导弹、鸭翼舵面导弹模型如,1,1,0.9,已规范化
SE0040,Z型折叠翼,变形方式,Z字型折叠翼,以新型机械结构为主导的变展长变体飞行器，如Z字型折叠翼，机械结构驱动的,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,30,以新型机械结构为主导的变展长变体飞行器，如Z 字型折叠翼，机械结构驱动的,2,3,0.9,已规范化
SE0041,伸缩翼,变形方式,伸缩机翼；伸缩机翼方案,图1.20王礼佳等人研发的多级伸缩式的伸缩机翼.....................................11,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,11,图 1.20 王礼佳等人研发的多级伸缩式的伸缩机翼 ..................................... 11,3,40,0.95,已规范化
SE0042,倾转机翼,变形方式,,式，如自适应偏转弹头、可变进气道、倾转机翼技,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,式，如自适应偏转弹头、可变进气道、倾转机翼技,1,17,0.95,已规范化
SE0043,偏转弹头,变形方式,,式，如自适应偏转弹头、可变进气道、倾转机翼技,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,式，如自适应偏转弹头、可变进气道、倾转机翼技,1,20,0.95,已规范化
SE0044,刚性变构,变形方式,,的不同发展阶段。刚性变构主要指20世纪50年代-,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,的不同发展阶段。刚性变构主要指20世纪50年代-,1,4,0.95,已规范化
