标准关系编号,头标准实体编号,头实体标准名,头实体类型,关系类型,尾标准实体编号,尾实体标准名,尾实体类型,证据句,来源文档,来源页码,置信度,出现次数,抽取方法,复核状态,原始关系编号
SR0001,SE0440,ACADO,项目/机构,包括,SE0478,总体设计,专业概念,ACADO 总体设计平台是基于matlab 二次开发而来，包括参数拟定、分析综,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0353
SR0002,SE0040,Z型折叠翼,变形方式,包括,SE0041,伸缩翼,变形方式,的对象包括Z 型折叠翼 ，充气式伸缩翼 ，桁架伸缩翼 ，硬壳式伸缩翼,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,47,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0180
SR0003,SE0115,上机翼,结构部件,包括,SE0116,下机翼,结构部件,数包括：上翼的弦长和翼型、下翼的弦长和翼型、上翼相对于下翼的安装角、,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,53,0.86,2,规则抽取+标准实体映射+重复三元组去重,已规范化,R0187；R0223
SR0004,SE0115,上机翼,结构部件,包括,SE0093,双翼,气动布局,1.4m，重新组成了167 组上翼弦长大于下翼弦长的双翼，进一步开展了数值,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,63,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0114
SR0005,SE0115,上机翼,结构部件,包括,SE0171,翼型,结构部件,数包括：上翼的弦长和翼型、下翼的弦长和翼型、上翼相对于下翼的安装角、,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,53,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0186
SR0006,SE0116,下机翼,结构部件,包括,SE0093,双翼,气动布局,1.4m，重新组成了167 组上翼弦长大于下翼弦长的双翼，进一步开展了数值,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,63,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0113
SR0007,SE0116,下机翼,结构部件,包括,SE0163,活动机翼,结构部件,3.1 所示。其机翼分为两部分：固定机翼(内、下机翼)和活动机翼(外、上机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,42,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0110
SR0008,SE0359,亚声速,任务场景,包括,SE0327,诱导阻力,性能指标,对于亚声速飞行器来说，零升阻力和诱导阻力是飞机总阻力的两个主要组成,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0249
SR0009,SE0359,亚声速,任务场景,包括,SE0337,阻力,性能指标,对于亚声速飞行器来说，零升阻力和诱导阻力是飞机总阻力的两个主要组成,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0477
SR0010,SE0359,亚声速,任务场景,包括,SE0340,零升阻力,性能指标,对于亚声速飞行器来说，零升阻力和诱导阻力是飞机总阻力的两个主要组成,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0248
